Date/Time,环境:场地室外空气干球温度 [C](小时),热区: 空间102:区平均气温[C](小时),热区: 空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能 [KW.h](小时),热区: 空间102 VRF风机:风机电能 [KW.h](小时),VRF热泵:VRF热泵冷却电能[KW.h](小时),VRF热泵:VRF热泵加热电能[KW.h](小时)
 01/01  19:00:00,3.1375,13.02001785,43.38906681,528.1968603,-1.081025802,29.66317953,0.383618639,0,0,0
 01/01  20:00:00,3.1,12.66450989,43.51683609,451.0223207,-2.097935602,80.98045008,0.383618639,0,0,0
 01/01  21:00:00,3.0375,12.58416818,43.60308449,421.6101622,-2.115288239,81.68704764,0.383618639,0,0,0
 01/01  22:00:00,3,12.55224336,43.87529434,413.7214331,-2.120481307,81.89489419,0.383618639,0,0,0
 01/01  23:00:00,2.9375,12.52566294,44.27234248,411.6055302,-2.122610781,81.97970401,0.383618639,0,0,0
 01/01  24:00:00,2.9,11.04324264,49.19184361,411.08647,-2.234677051,85.9963016,0,0,0,0
 01/02  01:00:00,2.8375,10.64893063,50.85934921,410.9166732,-1.359109678,43.34574062,0,0,0,0
 01/02  02:00:00,2.7375,10.56992745,51.57310441,410.860995,-1.371554858,44.00205526,0,0,0,0
 01/02  03:00:00,2.6375,10.49961282,52.48591196,410.8410832,-1.381476558,44.52719256,0,0,0,0
 01/02  04:00:00,2.5375,10.43602324,53.45532311,410.8339626,-1.389666603,44.96189554,0,0,0,0
 01/02  05:00:00,2.375,10.36012562,54.53837067,410.8314165,-1.398422108,45.42778764,0,0,0,0
 01/02  06:00:00,2.2375,10.28707217,55.65346809,410.8305062,-1.407752407,45.92545254,0,0,0,0
 01/02  07:00:00,2.075,10.21462268,56.47854659,410.8301808,-1.416159675,46.37497692,0,0,0,0
 01/02  08:00:00,2,11.56829481,51.6273534,410.8300597,-1.320246977,41.36045824,0.383618639,0,0,0
 01/02  09:00:00,2.25,11.98071716,49.9888948,410.8300149,-1.235487462,36.99978446,0.383618639,0,0,0
 01/02  10:00:00,2.775,13.87761096,46.28180425,618.7652487,-1.082538005,29.87499864,0.383618639,0,0,0
 01/02  11:00:00,3.3125,14.16108869,46.43949702,725.3119494,-0.973309174,25.0111123,0.383618639,0,0,0
 01/02  12:00:00,3.875,14.37419786,44.40598303,733.7756778,-0.961350634,24.5223675,0.383618639,0,0,0
 01/02  13:00:00,4.6,14.24017047,42.18763579,682.1496493,-0.963722357,24.62011689,0.383618639,0,0,0
 01/02  14:00:00,5.4625,14.6850892,38.93310098,669.8605881,-0.937906788,23.58557919,0.383618639,0,0,0
 01/02  15:00:00,6.4875,15.14809143,36.86122175,679.7953564,-0.885660764,21.56493094,0.383618639,0,0,0
 01/02  16:00:00,7.4625,15.89783143,36.08180799,740.8007695,-0.809220636,18.82780979,0.383618639,0,0,0
 01/02  17:00:00,7.675,15.83297815,36.81749299,739.1154517,-0.779574167,17.80913973,0.383618639,0,0,0
 01/02  18:00:00,7.2875,15.14955856,37.32630936,641.8563058,-0.835565127,19.74981324,0.383618639,0,0,0
