Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 10/03  23:00:00,17.7625,23.11737814,66.07973668,409.325148,-1.4070059730000002
 10/03  24:00:00,17.25,21.2135549,73.27161763,408.7999215,-1.6442682919999998
 10/04  01:00:00,16.975,20.48488489,75.45664884,408.6210048,-0.834145136
 10/04  02:00:00,16.8375,20.3899338,74.86354763,408.5630653,-0.8664266740000001
 10/04  03:00:00,16.7375,20.32099109,74.03219842,408.5420119,-0.8913365240000001
 10/04  04:00:00,16.575,20.23974385,72.88149209,408.5343625,-0.918835547
 10/04  05:00:00,16.375,20.14945012,71.36326404,408.5315837,-0.950381791
 10/04  06:00:00,16.1125,20.04208448,69.56623805,408.5305746,-0.985650427
 10/04  07:00:00,15.9375,19.94699398,67.27097178,408.5302084,-1.025815722
 10/04  08:00:00,15.8375,21.35694406,59.28643328,408.5300693,-0.8863130379999999
 10/04  09:00:00,16.6125,22.10587618,55.40858818,408.5300172,-0.7246449209999999
 10/04  10:00:00,18.0375,23.88932172,54.94122609,617.4505166,-0.45506389700000005
 10/04  11:00:00,19.35,24.34974196,57.66028684,723.9128975,-0.261297225
 10/04  12:00:00,20.3625,24.69873087,58.01610596,732.6960767999999,-0.190572877
 10/04  13:00:00,21.1375,24.74310253,57.1609549,681.0197766,-0.160125803
 10/04  14:00:00,21.9,25.097445800000003,55.79088053,668.5378896000001,-0.11111912300000001
 10/04  15:00:00,22.825,25.44627517,55.60668098,678.4238157999999,-0.037777064
 10/04  16:00:00,23.7,25.97650958,56.91015355,741.3050591,0.068981072
 10/04  17:00:00,23.8125,25.91880696,58.31407056,737.7907187000001,0.10553025099999999
 10/04  18:00:00,23.325,25.53271533,57.4797437,637.5166886,0.058438357
 10/04  19:00:00,22.6625,25.09079638,55.87203449,524.973121,-0.03644757
 10/04  20:00:00,21.9625,24.7238412,54.81886484,449.36526219999996,-1.155826225
 10/04  21:00:00,21.5125,24.55873932,54.69742074,419.5466336,-1.19907431
 10/04  22:00:00,21.4,24.52436822,55.70586942,411.5015749,-1.202195574
 10/04  23:00:00,21.15,24.47145544,57.16218069,409.3312733,-1.195025048
 10/04  24:00:00,20.5625,22.60879005,64.81026953,408.80366810000004,-1.39052085
 10/05  01:00:00,19.7375,21.55748848,69.09290163,408.6229303,-0.613026239
 10/05  02:00:00,18.9625,21.24098486,69.88447649,408.5639397,-0.684437752
 10/05  03:00:00,18.5125,21.05041956,70.57668371,408.5423807,-0.730105992
