日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时),,,
 01/04  11:00:00,5.5375,22.00037547,33.49136494,708.2775972,-0.841391398,19.93765662,0.038361864,0,2.645230286,,,
 01/04  12:00:00,7.225,22.00083463,33.83124092,723.4090246,-0.826558887,19.41173065,0.038361864,0,2.213133162,,,
 01/04  13:00:00,9.025,22.00092489,32.65308995,681.4665603,-0.814172113,18.97956328,0.038361864,0,1.991256911,,,
 01/04  14:00:00,10.6375,22.00096049,31.72983569,668.1666783,-0.804494761,18.64666764,0.038361864,0,1.586412096,,,
 01/04  15:00:00,12.0125,22.00103471,31.29187825,676.5756097,-0.796916948,18.38851577,0.038361864,0,1.299854929,,,
 01/04  16:00:00,12.875,22.00104789,32.54584865,733.2372433,-0.797461809,18.40707436,0.038361864,0,0.981301789,,,
 01/04  17:00:00,12.7875,22.00099656,33.74166852,735.579129,-0.788175111,18.09411524,0.038361864,0,1.098719691,,,
 01/04  18:00:00,11.85,22.0006826,33.54140581,646.938648,-0.781530918,17.87219695,0.038361864,0,1.444852527,,,
 01/04  19:00:00,10.275,22.00036437,32.61182231,539.2598839,-0.790225207,18.16285078,0.038361864,0,1.838144273,,,
 01/04  20:00:00,8.475,22.0001799,31.51430018,462.0337516,-0.795787723,18.35028211,0.038361864,0,2.19998856,,,
 01/04  21:00:00,6.675,22.00013069,30.57614077,427.6025584,-0.798551012,18.44392606,0.038361864,0,2.522487631,,,
 01/04  22:00:00,5.125,21.84623311,29.84275177,416.2960634,0.153643099,5.491070741,0.038361864,0,2.835491886,,,
 01/04  23:00:00,3.975,21.49522697,29.40452245,412.6057999,0.117010433,5.284637461,0.038361864,0,2.98133495,,,
 01/04  24:00:00,3.1625,15.97681763,40.45786035,411.4904939,-0.263673377,7.870549513,0,0,0,,,
 01/05  01:00:00,2.525,14.09825331,43.79877656,411.0416465,-0.639581992,13.59407091,0,0,0,,,
 01/05  02:00:00,1.9875,13.81506508,43.28712181,410.9046019,-0.690553972,15.02933245,0,0,0,,,
 01/05  03:00:00,1.4875,13.57775311,42.68356355,410.8562697,-0.731228916,16.25721336,0,0,0,,,
 01/05  04:00:00,0.925,13.33795312,41.96837097,410.8392397,-0.771048,17.52903704,0,0,0,,,
 01/05  05:00:00,0.325,13.08990299,41.27484062,410.8332455,-0.812312639,18.91791178,0,0,0,,,
 01/05  06:00:00,-0.2125,12.85742134,40.38585957,410.8311385,-0.85240427,20.33585738,0,0,0,,,
 01/05  07:00:00,-0.65,12.64951265,39.18923523,410.8303989,-0.890720736,21.75341303,0,0,0,,,
 01/05  08:00:00,-0.8625,18.56827458,26.01310304,410.8301392,-1.45676327,48.7843547,0.038361864,0,3.189526281,,,
 01/05  09:00:00,0.35,20.36230502,22.87460761,410.8300392,-1.098315414,30.44094921,0.038361864,0,3.149953123,,,
 01/05  10:00:00,2.85,21.7653496,26.04578333,606.990852,-0.957220982,24.44399896,0.038361864,0,3.029864881,,,
 01/05  11:00:00,5.4,22.000254,29.81858974,708.0475254,-0.857125241,20.50631481,0.038361864,0,2.669022009,,,
