日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 12/03  09:00:00,7.6,17.99982942,45.54067961,411.7600008,-1.381950365,44.55228505,5.415881507,0,14.33892116
 12/03  10:00:00,7.475,17.78857902,49.19316974,568.2750889,-1.379613165,44.42853781,5.415881507,0,3.981778463
 12/03  11:00:00,7.3375,17.85403505,50.31075124,619.154198,-1.367651814,43.79597319,5.415881507,0,6.682500832
 12/03  12:00:00,7.3,17.81204631,50.70962341,615.0300176,-1.364169239,43.61257018,5.415881507,0,5.671959764
 12/03  13:00:00,7.3625,17.97209123,49.91947964,575.2639507,-1.357852218,43.28029653,5.415881507,0,9.662815562
 12/03  14:00:00,7.525,18.00103766,50.1112719,571.0357078,-1.346657863,42.69164654,5.415881507,0,8.278642347
 12/03  15:00:00,7.725,17.85855592,51.24985034,578.7126546,-1.352953456,43.02217127,5.415881507,0,6.953334131
 12/03  16:00:00,7.8625,17.7880123,52.79477806,622.191495,-1.354073315,43.08075906,5.415881507,0,3.940856967
 12/03  17:00:00,7.9625,17.77315638,52.99786844,616.0334412,-1.35481476,43.11973092,5.415881507,0,4.570836606
 12/03  18:00:00,8,17.99968357,50.94193461,543.0134279,-1.343519074,42.5277902,5.415881507,0,10.4079566
 12/03  19:00:00,8,18.00084984,49.47444527,471.2694085,-1.345653511,42.63905815,5.415881507,0,12.22134133
 12/03  20:00:00,8,18.0003743,48.35238977,428.2615947,-1.352456963,42.99586233,5.415881507,0,13.22687707
 12/03  21:00:00,8,18.00019251,47.79352872,414.7149672,-1.356235216,43.19438064,5.415881507,0,13.25864837
 12/03  22:00:00,8,18.00009763,47.43270168,412.2891889,-0.389824168,8.165335771,5.415881507,0,13.28323133
 12/03  23:00:00,8.0625,18.00006202,47.26917511,411.8547804,-0.390768361,8.180770683,5.415881507,0,13.19764993
 12/03  24:00:00,8.1,15.29173339,56.11713435,411.7860185,-0.587767881,12.64892656,0,0,0
 12/04  01:00:00,8.1,14.48766108,59.19009868,411.768756,-0.766159058,17.36717573,0,0,0
 12/04  02:00:00,8.1,14.4125909,59.74359616,411.7631493,-0.781098626,17.85802049,0,0,0
 12/04  03:00:00,8.0375,14.34735842,59.9760328,411.7611329,-0.792403469,18.23627687,0,0,0
 12/04  04:00:00,7.9375,14.27375562,60.00494605,411.7604075,-0.805969809,18.69727353,0,0,0
 12/04  05:00:00,7.775,14.19095616,60.03178015,411.7601465,-0.819846209,19.17686118,0,0,0
 12/04  06:00:00,7.6375,14.11182859,60.06325336,411.7600527,-0.834042969,19.67579698,0,0,0
 12/04  07:00:00,7.475,14.02956251,59.93150671,411.7600189,-0.848248376,20.18368597,0,0,0
 12/04  08:00:00,7.4,17.81594999,46.6754383,411.7600048,-1.52914599,52.43779443,5.415881507,0,19.29555713
 12/04  09:00:00,7.4625,18.00006204,45.8879857,411.7600008,-1.400666402,45.54733449,5.415881507,0,15.48267427
 12/04  10:00:00,7.75,17.77108878,49.36592093,568.50804,-1.400674766,45.5479879,5.415881507,0,4.319387237
 12/04  11:00:00,8.275,17.79229325,51.03906633,619.7566033,-1.388896383,44.92105943,5.415881507,0,4.967060302
 12/04  12:00:00,9,17.71565558,52.16834678,616.001394,-1.378839012,44.38751244,5.415881507,0,3.136945576
 12/04  13:00:00,9.8,17.77845038,52.40458291,577.6999179,-1.387877636,44.86905853,5.415881507,0,4.943136516
 12/04  14:00:00,10.5375,17.33594053,54.53410612,571.8328202,-1.405428236,45.80421008,5.415881507,0,0
 12/04  15:00:00,11.1125,17.44567189,54.48994898,580.3037542,-1.405976582,45.83083333,5.415881507,0,0
 12/04  16:00:00,11.425,17.92438591,52.87994969,625.0579171,-1.362215421,43.5124864,5.415881507,0,0
 12/04  17:00:00,11.4375,17.78331617,51.45412826,616.228782,-1.360301434,43.40996806,5.415881507,0,0
 12/04  18:00:00,11.2125,17.74014539,47.94787807,546.5022752,-1.387951111,44.87087043,5.415881507,0,4.533736772
 12/04  19:00:00,10.9125,17.99724604,42.89520721,471.5620104,-1.389182038,44.93643531,5.415881507,0,8.412012853
 12/04  20:00:00,10.55,18.00145888,39.42586939,428.4732157,-1.398863981,45.45140662,5.415881507,0,9.893328397
 12/04  21:00:00,10.15,18.00094477,36.80664167,414.7818168,-1.411382012,46.11940667,5.415881507,0,10.43105375
 12/04  22:00:00,9.8125,18.00063317,35.10119451,412.3059435,-0.449862132,9.223063735,5.415881507,0,10.87070636
 12/04  23:00:00,9.5125,18.00040806,33.92359051,411.8585674,-0.454959071,9.319945954,5.415881507,0,11.27160142
