日期/时间,环境:场地室外空气干球温度[C](小时),热区:空间102:区平均气温[C](小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[kwh](小时),风机:风机电能[kwh](小时),VRF热泵:VRF热泵冷却电能[kwh](小时),VRF热泵:VRF热泵加热电能[kwh](小时)
 07/27  20:00:00,29.934625,31.4849553,60.26672216,442.1456586,0.646868767,13.7936167,0.863141937,0,0,0
 07/27  21:00:00,29.261875,31.25732222,60.47341674,418.7227591,0.59972437,12.54315875,0.863141937,0,0,0
 07/27  22:00:00,28.640875,31.05657858,61.03438991,413.360019,0.56882219,11.77891031,0.863141937,0,0,0
 07/27  23:00:00,28.106125,30.87280707,61.64593791,412.1332663,0.540109959,11.1059222,0.863141937,0,0,0
 07/27  24:00:00,27.623125,29.0302668,68.57015919,411.8846951,0.347417486,7.839014256,0,0,0,0
 01/01  01:00:00,2.9625,10.74251266,51.73433728,410.8711924,-1.342091469,42.45255075,0,0,0,0
 01/01  02:00:00,2.8125,10.66250149,54.35216481,410.8447361,-1.345797883,42.64665477,0,0,0,0
 01/01  03:00:00,2.5125,10.54327329,55.26200009,410.8352673,-1.359806999,43.38248902,0,0,0,0
 01/01  04:00:00,2.2125,10.42467003,55.1285954,410.8318812,-1.377590842,44.3214973,0,0,0,0
 01/01  05:00:00,1.975,10.32092388,54.64643809,410.8306714,-1.395517959,45.27322806,0,0,0,0
 01/01  06:00:00,1.7125,10.21777621,53.97927597,410.8302395,-1.412308238,46.16906402,0,0,0,0
 01/01  07:00:00,1.6,10.1437484,53.21196076,410.8300854,-1.428681873,47.04620306,0,0,0,0
 01/01  08:00:00,1.6625,11.45721903,48.22902206,410.8300265,-1.33644421,42.19680896,0.863141937,0,0,0
 01/01  09:00:00,1.8875,11.84301527,46.65742972,410.8300057,-1.256086946,38.03225488,0.863141937,0,0,0
 01/01  10:00:00,2.1875,13.65004029,43.76861556,610.282051,-1.110068815,31.11292013,0.863141937,0,0,0
 01/01  11:00:00,2.4875,13.8372199,44.97895984,700.9771899,-1.011887835,26.62511893,0.863141937,0,0,0
 01/01  12:00:00,2.725,13.93136922,44.86575983,704.2207189,-1.007730283,26.44681651,0.863141937,0,0,0
 01/01  13:00:00,2.925,13.60021993,44.96495983,653.0322637,-1.027742616,27.30794629,0.863141937,0,0,0
 01/01  14:00:00,3.0625,13.76770054,43.80734124,643.4350319,-1.028005009,27.31509454,0.863141937,0,0,0
 01/01  15:00:00,3.1625,13.88243697,43.16179922,653.2152183,-1.011370824,26.60109867,0.863141937,0,0,0
 01/01  16:00:00,3.2,14.35937489,42.3587999,710.9071259,-0.969373488,24.85809392,0.863141937,0,0,0
 01/01  17:00:00,3.2,14.15602637,42.76861097,705.663493,-0.964340269,24.64584092,0.863141937,0,0,0
 01/01  18:00:00,3.2,13.50259455,43.26686471,612.8218562,-1.025028454,27.20262137,0.863141937,0,0,0
 01/01  19:00:00,3.1375,12.90852976,43.56015249,510.2164809,-1.097098312,30.39153021,0.863141937,0,0,0
 01/01  20:00:00,3.1,12.55827029,43.75284401,442.0220943,-2.113300974,81.60404887,0.863141937,0,0,0
 01/01  21:00:00,3.0375,12.47865604,43.88228282,418.1020965,-2.130299214,82.28409204,0.863141937,0,0,0
 01/01  22:00:00,3,12.44646801,44.17698814,412.5254621,-2.135462417,82.4870712,0.863141937,0,0,0
 01/01  23:00:00,2.9375,12.41952489,44.58620571,411.225291,-2.137598554,82.57062233,0.863141937,0,0,0
 01/01  24:00:00,2.9,10.98301833,49.38989074,410.9519464,-2.246529917,86.40850058,0,0,0,0
 01/02  01:00:00,2.8375,10.60868657,50.99705568,410.8713178,-1.367134332,43.76865592,0,0,0,0
 01/02  02:00:00,2.7375,10.53100443,51.70752371,410.8447777,-1.379310977,44.41245634,0,0,0,0
 01/02  03:00:00,2.6375,10.46164382,52.61915167,410.8352849,-1.389043492,44.92879041,0,0,0,0
 01/02  04:00:00,2.5375,10.39885819,53.58811028,410.8318898,-1.397073306,45.35591938,0,0,0,0
 01/02  05:00:00,2.375,10.32366842,54.67130171,410.8306756,-1.405686023,45.81514623,0,0,0,0
 01/02  06:00:00,2.2375,10.25125788,55.78678483,410.8302415,-1.414886863,46.30683611,0,0,0,0
 01/02  07:00:00,2.075,10.17942692,56.61159992,410.8300863,-1.423168924,46.75044258,0,0,0,0
 01/02  08:00:00,2,11.48145095,51.92146019,410.8300268,-1.330941841,41.91133761,0.863141937,0,0,0
 01/02  09:00:00,2.25,11.87861863,50.32229323,410.8300057,-1.24955265,37.70361065,0.863141937,0,0,0
 01/02  10:00:00,2.775,13.76014608,46.54368298,610.3207157,-1.097751683,30.55942994,0.863141937,0,0,0
 01/02  11:00:00,3.3125,14.04563001,46.56731249,701.1177883,-0.989534083,25.68265716,0.863141937,0,0,0
 01/02  12:00:00,3.875,14.2605093,44.4567787,704.4657641,-0.977498822,25.18331173,0.863141937,0,0,0
 01/02  13:00:00,4.6,14.13520524,42.19537853,653.4083565,-0.979311596,25.25929097,0.863141937,0,0,0
 01/02  14:00:00,5.4625,14.58102487,38.9347723,643.9643682,-0.95299477,24.18891542,0.863141937,0,0,0
 01/02  15:00:00,6.4875,15.0353092,36.86798021,654.0118732,-0.901325666,22.15840383,0.863141937,0,0,0
 01/02  16:00:00,7.4625,15.76608513,36.07895322,712.1871855,-0.82681405,19.43858459,0.863141937,0,0,0
 01/02  17:00:00,7.675,15.69554631,36.77970934,707.2996373,-0.797688434,18.41628002,0.863141937,0,0,0
 01/02  18:00:00,7.2875,15.02087894,37.32390511,614.1267307,-0.853526373,20.39447111,0.863141937,0,0,0
 01/02  19:00:00,6.6625,14.29978352,37.70524919,510.9487443,-0.939708982,23.66653295,0.863141937,0,0,0
 01/02  20:00:00,5.9625,13.76911827,38.08975664,442.3191092,-1.971253192,75.44109301,0.863141937,0,0,0
 01/02  21:00:00,5.3875,13.50682107,38.7911209,418.1958259,-2.006146583,77.03803063,0.863141937,0,0,0
 01/02  22:00:00,5.0125,13.34174756,39.70155795,412.5518654,-2.023653466,77.81901235,0.863141937,0,0,0
 01/02  23:00:00,4.8375,13.26585384,40.42270489,411.2323332,-2.031188461,78.15118587,0.863141937,0,0,0
 01/02  24:00:00,4.8,11.75255804,45.34218801,410.9548022,-2.14207916,82.61476364,0,0,0,0
 01/03  01:00:00,4.8,11.36155461,47.16250374,410.8723853,-1.265539316,38.50956049,0,0,0,0
 01/03  02:00:00,4.675,11.29774884,47.85734301,410.8452285,-1.27293289,38.88455677,0,0,0,0
 01/03  03:00:00,4.35,11.19205567,48.5172711,410.8354682,-1.284223466,39.45988516,0,0,0,0
 01/03  04:00:00,3.7625,11.01791052,49.25433835,410.8319611,-1.302996021,40.42318671,0,0,0,0
 01/03  05:00:00,2.9375,10.7763019,49.71582918,410.830702,-1.331672782,41.90936431,0,0,0,0
 01/03  06:00:00,2.1,10.52340488,49.84479477,410.8302507,-1.36472879,43.64232799,0,0,0,0
 01/03  07:00:00,1.3625,10.29469054,49.69911798,410.8300893,-1.396245324,45.3123216,0,0,0,0
 01/03  08:00:00,0.975,11.44861583,45.25841907,410.8300276,-1.323403477,41.51345316,0.863141937,0,0,0
 01/03  09:00:00,1.525,11.86428061,44.01622763,410.8300059,-1.248631082,37.65812515,0.863141937,0,0,0
 01/03  10:00:00,2.9,13.97327229,41.82428203,605.5126883,-1.073384524,29.49290812,0.863141937,0,0,0
 01/03  11:00:00,4.5625,14.69623548,43.63082557,701.2007931,-0.910773039,22.51919658,0.863141937,0,0,0
 01/03  12:00:00,6.2625,15.31521141,43.50105156,704.8707983,-0.840269222,19.9095498,0.863141937,0,0,0
 01/03  13:00:00,7.9,15.45772107,42.8009155,654.0914322,-0.801003979,18.52858603,0.863141937,0,0,0
 01/03  14:00:00,9.375,16.09579981,40.3636466,644.788234,-0.739885103,16.5390046,0.863141937,0,0,0
 01/03  15:00:00,10.7125,16.60606849,38.30611809,654.9820584,-0.673766476,14.54387057,0.863141937,0,0,0
 01/03  16:00:00,11.6375,17.18713027,37.2288627,713.3892762,-0.61888947,13.04663045,0.863141937,0,0,0
 01/03  17:00:00,11.7125,17.13043748,36.75946094,708.6235876,-0.592584407,12.3621843,0.863141937,0,0,0
 01/03  18:00:00,11.1,16.46917199,36.28399266,615.1875001,-0.654875337,14.03020624,0.863141937,0,0,0
 01/03  19:00:00,10.175,15.76638975,35.85099095,511.5554022,-0.738114512,16.48453836,0.863141937,0,0,0
 01/03  20:00:00,9.05,15.1672429,36.04012313,442.5722554,-1.772229551,65.5726299,0.863141937,0,0,0
 01/03  21:00:00,7.9125,14.79006235,36.76926078,418.2754234,-1.817672705,67.92844952,0.863141937,0,0,0
 01/03  22:00:00,7,14.50372376,37.84711976,412.5727221,-1.846389504,69.38944217,0.863141937,0,0,0
 01/03  23:00:00,6.2625,14.23725327,39.13947591,411.2372657,-1.870281009,70.5870251,0.863141937,0,0,0
 01/03  24:00:00,5.6875,12.51150974,44.63021531,410.9563398,-2.002491553,76.74931695,0,0,0,0
 01/04  01:00:00,5.25,11.98366104,47.47851552,410.8729097,-1.139613763,32.35149357,0,0,0,0
 01/04  02:00:00,4.9125,11.84944524,49.17255441,410.8454037,-1.154714608,33.06499252,0,0,0,0
 01/04  03:00:00,4.55,11.72282239,50.99436782,410.8355254,-1.166877953,33.64516811,0,0,0,0
 01/04  04:00:00,4.15,11.58511551,52.84178604,410.8319801,-1.180646879,34.30737033,0,0,0,0
 01/04  05:00:00,3.6875,11.43566305,54.35959263,410.8307088,-1.196001752,35.05263028,0,0,0,0
 01/04  06:00:00,3.25,11.2866243,55.34345299,410.8302534,-1.214118575,35.94063841,0,0,0,0
 01/04  07:00:00,2.9125,11.15977594,55.6787509,410.8300905,-1.232248226,36.83840533,0,0,0,0
 01/04  08:00:00,2.7375,12.41757421,50.77770823,410.830028,-1.147156822,32.76807794,0.863141937,0,0,0
 01/04  09:00:00,3.075,12.8181885,48.91977481,410.830006,-1.069821794,29.15067605,0.863141937,0,0,0
 01/04  10:00:00,4.1125,14.8387354,45.32545783,605.5581529,-0.909868434,22.67731596,0.863141937,0,0,0
 01/04  11:00:00,5.5375,15.48387091,45.67963898,701.2818658,-0.760616269,17.18742728,0.863141937,0,0,0
 01/04  12:00:00,7.225,15.99984263,44.44051877,705.0202806,-0.711326521,15.65249718,0.863141937,0,0,0
 01/04  13:00:00,9.025,16.20379227,42.74554625,654.3234587,-0.669738309,14.4262746,0.863141937,0,0,0
 01/04  14:00:00,10.6375,16.86390043,40.0317979,645.0653529,-0.607755449,12.75845,0.863141937,0,0,0
 01/04  15:00:00,12.0125,17.35997832,38.34125489,655.3243143,-0.544195075,11.20233066,0.863141937,0,0,0
 01/04  16:00:00,12.875,17.95376953,38.44411002,713.7599596,-0.486381665,9.952539765,0.863141937,0,0,0
 01/04  17:00:00,12.7875,17.78541595,40.69235511,709.006107,-0.467831722,9.5712823,0.863141937,0,0,0
 01/04  18:00:00,11.85,17.07592491,43.05697312,615.422681,-0.515473889,10.57361446,0.863141937,0,0,0
 01/04  19:00:00,10.275,16.21514521,45.18548048,511.5812706,-0.60255627,12.63460717,0.863141937,0,0,0
 01/04  20:00:00,8.475,15.37332162,46.90748689,442.51981,-1.659013159,59.54366136,0.863141937,0,0,0
 01/04  21:00:00,6.675,14.74691145,47.82104747,418.2389317,-1.731831353,63.4454288,0.863141937,0,0,0
 01/04  22:00:00,5.125,14.20459308,48.02265509,412.5564575,-1.795649758,66.7919839,0.863141937,0,0,0
 01/04  23:00:00,3.975,13.7893262,47.60125562,411.2313194,-1.849601705,69.54971107,0.863141937,0,0,0
 01/04  24:00:00,3.1625,12.15790796,51.32069936,410.9536637,-1.98988921,76.18997465,0,0,0,0
 01/05  01:00:00,2.525,11.62497962,51.46720018,410.8716052,-1.134698055,32.12205881,0,0,0,0
 01/05  02:00:00,1.9875,11.42326721,50.63932467,410.844795,-1.168152309,33.70704332,0,0,0,0
 01/05  03:00:00,1.4875,11.24467754,49.76408703,410.8352547,-1.196692023,35.08684261,0,0,0,0
 01/05  04:00:00,0.925,11.0534516,48.79097988,410.8318638,-1.226443984,36.55077194,0,0,0,0
 01/05  05:00:00,0.325,10.84775416,47.86520236,410.8306601,-1.258889793,38.17440871,0,0,0,0
 01/05  06:00:00,-0.2125,10.65450622,46.72627263,410.8302334,-1.290846125,39.79934797,0,0,0,0
 01/05  07:00:00,-0.65,10.48413203,45.24097238,410.8300825,-1.321420561,41.37601907,0,0,0,0
 01/05  08:00:00,-0.8625,11.59123325,40.24427473,410.8300247,-1.253499249,37.93994487,0.863141937,0,0,0
 01/05  09:00:00,0.35,12.0992019,38.75666294,410.8300054,-1.18042092,34.29997917,0.863141937,0,0,0
 01/05  10:00:00,2.85,14.43419866,37.68427125,603.2493118,-0.979209393,25.48628072,0.863141937,0,0,0
 01/05  11:00:00,5.4,15.52734709,40.14822885,701.1386566,-0.773061176,17.60121065,0.863141937,0,0,0
 01/05  12:00:00,7.675,16.2547935,40.66944219,705.0038981,-0.686308034,14.91402751,0.863141937,0,0,0
 01/05  13:00:00,9.5625,16.44076961,40.06960027,654.3778552,-0.644785275,13.73020104,0.863141937,0,0,0
 01/05  14:00:00,11.075,16.98701489,37.7868302,645.1392396,-0.600674023,12.57265291,0.863141937,0,0,0
 01/05  15:00:00,12.1625,17.38962689,36.29868333,655.3687783,-0.549176179,11.31814308,0.863141937,0,0,0
 01/05  16:00:00,12.75,18.10669311,36.14452729,713.5873921,-0.460102282,9.440407184,0.863141937,0,0,0
 01/05  17:00:00,12.5875,17.88269432,38.8000432,708.6864004,-0.447271198,9.178953492,0.863141937,0,0,0
 01/05  18:00:00,11.65,17.10120919,41.83335898,615.176773,-0.510318406,10.46375593,0.863141937,0,0,0
 01/05  19:00:00,10.2,16.26319054,44.63510242,511.4446609,-0.591926306,12.36187754,0.863141937,0,0,0
 01/05  20:00:00,8.475,15.45045347,47.15251111,442.4634474,-1.640633212,58.55000008,0.863141937,0,0,0
 01/05  21:00:00,6.7375,14.8474376,48.56182914,418.2190408,-1.709790058,62.27299042,0.863141937,0,0,0
 01/05  22:00:00,5.2875,14.34916195,48.97844705,412.5503925,-1.76800869,65.35326479,0.863141937,0,0,0
 01/05  23:00:00,4.175,13.94583138,48.73320908,411.2296191,-1.819561596,68.02419641,0.863141937,0,0,0
 01/05  24:00:00,3.3,12.29477065,52.46122733,410.9530966,-1.961429938,74.87901379,0,0,0,0
 01/06  01:00:00,2.6875,11.76281755,52.12645267,410.8714129,-1.1089916,30.92799032,0,0,0,0
 01/06  02:00:00,2.1875,11.57478197,50.86502675,410.8447285,-1.141276792,32.4304978,0,0,0,0
 01/06  03:00:00,1.6875,11.39170281,49.79971421,410.835232,-1.171788354,33.88151612,0,0,0,0
 01/06  04:00:00,1.1875,11.21101085,48.98130273,410.8318564,-1.201052128,35.29980213,0,0,0,0
 01/06  05:00:00,0.625,11.0173963,48.34423909,410.8306578,-1.230608836,36.75756867,0,0,0,0
 01/06  06:00:00,0.15,10.83710623,47.8108274,410.8302328,-1.260264513,38.2434487,0,0,0,0
 01/06  07:00:00,-0.25,10.68000375,47.28486857,410.8300823,-1.285888041,39.54532911,0,0,0,0
 01/06  08:00:00,-0.4625,11.79924664,42.97482093,410.8300246,-1.214219108,35.98906166,0.863141937,0,0,0
 01/06  09:00:00,-0.1875,12.08380037,41.72218099,410.8300053,-1.154190459,33.04012664,0.863141937,0,0,0
 01/06  10:00:00,0.8125,13.94897693,39.78232489,609.8273846,-1.004576694,26.47718522,0.863141937,0,0,0
 01/06  11:00:00,2.55,14.57470413,41.34178494,700.0348892,-0.866767243,20.86021703,0.863141937,0,0,0
 01/06  12:00:00,4.675,15.33809623,41.61874876,703.6492431,-0.787981921,18.10454881,0.863141937,0,0,0
 01/06  13:00:00,6.9375,15.65297701,42.47791436,653.1186268,-0.728968333,16.18635134,0.863141937,0,0,0
 01/06  14:00:00,9.05,16.42677495,42.5106408,644.1542054,-0.652156546,13.95115685,0.863141937,0,0,0
 01/06  15:00:00,10.8,17.07393235,42.93552711,654.5211402,-0.556870302,11.505579,0.863141937,0,0,0
 01/06  16:00:00,11.8375,17.80945821,43.56036732,712.8522306,-0.462722345,9.488970051,0.863141937,0,0,0
 01/06  17:00:00,11.85,17.71436404,44.94824388,707.9540987,-0.432668913,8.905925223,0.863141937,0,0,0
 01/06  18:00:00,11.1375,17.02293595,45.88100073,614.565251,-0.492431675,10.08919645,0.863141937,0,0,0
 01/06  19:00:00,9.9875,16.19658208,46.44471775,511.1239822,-0.588574306,12.28316915,0.863141937,0,0,0
 01/06  20:00:00,8.5625,15.46302532,46.54923244,442.3494795,-1.64304934,58.68091436,0.863141937,0,0,0
 01/06  21:00:00,7.1875,14.98285795,46.379913,418.1883688,-1.706143338,62.07888221,0.863141937,0,0,0
 01/06  22:00:00,6.075,14.61015928,46.17188315,412.5438904,-1.752118765,64.51979067,0.863141937,0,0,0
 01/06  23:00:00,5.2,14.29471414,45.86562076,411.2284781,-1.791499406,66.57898471,0.863141937,0,0,0
 01/06  24:00:00,4.4625,12.63349797,50.01693819,410.9530037,-1.9282339,73.31544556,0,0,0,0
 01/07  01:00:00,3.8875,12.09994141,50.60452946,410.8715296,-1.073354777,29.30943175,0,0,0,0
 01/07  02:00:00,3.3875,11.91712874,50.42754944,410.8448202,-1.101163548,30.56802105,0,0,0,0
 01/07  03:00:00,2.825,11.72856525,50.29626487,410.8352819,-1.12757262,31.78813582,0,0,0,0
 01/07  04:00:00,2.1625,11.51714365,49.98289083,410.8318794,-1.156971662,33.17335524,0,0,0,0
 01/07  05:00:00,1.4,11.27797018,49.54482819,410.8306675,-1.190623718,34.79198869,0,0,0,0
 01/07  06:00:00,0.6625,11.03753202,49.13821281,410.8302366,-1.226092276,36.53345754,0,0,0,0
 01/07  07:00:00,0.0875,10.83403562,48.42977895,410.8300837,-1.258380639,38.14855855,0,0,0,0
 01/07  08:00:00,-0.225,11.93627268,43.68039804,410.830025,-1.190587598,34.83371354,0.863141937,0,0,0
 01/07  09:00:00,0.2,12.2521289,42.69271661,410.8300054,-1.129352553,31.87082373,0.863141937,0,0,0
 01/07  10:00:00,1.3125,14.17506144,41.01592823,609.7729416,-0.971048412,25.09227105,0.863141937,0,0,0
 01/07  11:00:00,2.675,14.72663723,42.52892428,699.7661364,-0.834395572,19.68898553,0.863141937,0,0,0
 01/07  12:00:00,4.1375,15.25452194,42.22759207,703.1232549,-0.782910465,17.92579433,0.863141937,0,0,0
 01/07  13:00:00,5.7,15.36258285,41.67185884,652.381723,-0.75363429,16.96300654,0.863141937,0,0,0
 01/07  14:00:00,7.3625,16.01082113,40.0622515,643.32077,-0.697826924,15.2548977,0.863141937,0,0,0
 01/07  15:00:00,9.1875,16.6446568,39.54673138,653.6696993,-0.620901456,13.09764316,0.863141937,0,0,0
 01/07  16:00:00,10.7125,17.46689476,40.40977179,712.0992901,-0.526679345,10.82569654,0.863141937,0,0,0
 01/07  17:00:00,11.0125,17.39492701,42.54570774,707.3368986,-0.493881136,10.09881581,0.863141937,0,0,0
 01/07  18:00:00,10.4,16.75555979,43.68387496,614.0911789,-0.540853812,11.13856321,0.863141937,0,0,0
 01/07  19:00:00,9.4125,15.98748939,44.57334978,510.8360246,-0.624783679,13.21031739,0.863141937,0,0,0
 01/07  20:00:00,8.25,15.3423064,45.46073932,442.2249458,-1.667167737,59.98493463,0.863141937,0,0,0
 01/07  21:00:00,7.05,14.92906051,46.11043518,418.1468959,-1.717613831,62.69133548,0.863141937,0,0,0
 01/07  22:00:00,5.975,14.56712439,46.47426976,412.5314179,-1.759515316,64.90896582,0.863141937,0,0,0
 01/07  23:00:00,5.1625,14.26063841,46.7616538,411.2249499,-1.7971783,66.87337333,0.863141937,0,0,0
 01/07  24:00:00,4.4625,12.6060428,51.52172677,410.9518375,-1.931022443,73.44820921,0,0,0,0
 01/08  01:00:00,3.8875,12.06506751,52.59084334,410.8711423,-1.075774632,29.41787886,0,0,0,0
 01/08  02:00:00,3.3875,11.87579713,52.71704363,410.8446844,-1.103739179,30.68601399,0,0,0,0
 01/08  03:00:00,2.825,11.6837714,52.64275409,410.8352343,-1.130740884,31.93608912,0,0,0,0
 01/08  04:00:00,2.225,11.48300072,52.22700786,410.8318629,-1.160000849,33.31749935,0,0,0,0
 01/08  05:00:00,1.625,11.2820049,51.58335251,410.830662,-1.190446399,34.78293706,0,0,0,0
 01/08  06:00:00,1.025,11.08066581,51.02921666,410.8302349,-1.220729818,36.26763187,0,0,0,0
 01/08  07:00:00,0.55,10.90109557,50.25336954,410.8300832,-1.25059017,37.75621489,0,0,0,0
 01/08  08:00:00,0.3375,12.04818053,45.34611431,410.8300249,-1.178594127,34.25757303,0.863141937,0,0,0
 01/08  09:00:00,0.6125,12.34555317,43.8923154,410.8300054,-1.116480405,31.27207941,0.863141937,0,0,0
 01/08  10:00:00,1.6125,14.23150846,41.34284005,606.6758502,-0.967782905,24.95065269,0.863141937,0,0,0
 01/08  11:00:00,3.2875,14.88932758,42.38888322,700.0016084,-0.824644864,19.34629479,0.863141937,0,0,0
 01/08  12:00:00,5.4375,15.60482801,42.32014686,703.628729,-0.75196332,16.92448836,0.863141937,0,0,0
 01/08  13:00:00,7.8,15.97688408,42.75872292,653.1353296,-0.683722534,14.8304375,0.863141937,0,0,0
 01/08  14:00:00,10.2625,16.83522604,42.58809401,643.9465837,-0.595236753,12.45033821,0.863141937,0,0,0
 01/08  15:00:00,12.575,17.54155674,43.99032734,654.8297044,-0.504041439,10.32380919,0.863141937,0,0,0
 01/08  16:00:00,14.2125,18.51471146,45.95281572,713.4100727,-0.378959347,8.025225334,0.863141937,0,0,0
 01/08  17:00:00,14.3875,18.4610009,49.37458804,708.6663573,-0.333343001,7.31290196,0.863141937,0,0,0
 01/08  18:00:00,13.325,17.6835591,51.78710305,615.1158322,-0.390980903,8.205981334,0.863141937,0,0,0
 01/08  19:00:00,11.6125,16.74549243,53.16086834,511.3794188,-0.490240603,10.04698972,0.863141937,0,0,0
 01/08  20:00:00,9.7125,15.91139854,53.75065679,442.4184014,-1.550963767,53.67441418,0.863141937,0,0,0
 01/08  21:00:00,7.9375,15.31413788,53.60704047,418.2007199,-1.627568539,57.84274564,0.863141937,0,0,0
