Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/09  01:00:00,5.1375,13.3397625,54.79229251,410.8322165,-0.828105799
 01/09  02:00:00,5.0375,13.22491058,54.75321317,410.83079169999996,-0.85112285
 01/09  03:00:00,4.875,13.11987161,54.32315669,410.8302827,-0.87031732
 01/09  04:00:00,4.55,12.98491413,53.49545567,410.83010089999993,-0.8930505259999999
 01/09  05:00:00,4.0875,12.81970214,52.23119409,410.830036,-0.920579692
 01/09  06:00:00,3.5875,12.64038952,50.6884216,410.8300128,-0.951813558
 01/09  07:00:00,3.15,12.47074113,49.09652376,410.8300046,-0.9834059690000001
 01/09  08:00:00,2.9375,14.284556699999998,41.60638231,410.83000110000006,-0.8674315020000001
 01/09  09:00:00,4.525,16.1039246,38.12497322,410.8300001,-0.6985808929999999
 01/09  10:00:00,7.0625,18.98024029,39.68631821,581.7947984,-0.329650367
 01/09  11:00:00,8.6875,19.00019454,44.82672538,618.9389756,-0.253366165
 01/09  12:00:00,9.1625,19.00033547,46.65112118,614.3369984,-0.234606444
 01/09  13:00:00,8.8875,19.00065617,45.38394513,570.7646070000001,-0.23307588199999998
 01/09  14:00:00,8.325,19.00063108,43.75409677,569.6957087999999,-0.23816246
 01/09  15:00:00,7.975,19.00056331,42.8413079,578.1340927,-0.24041179
 01/09  16:00:00,8.025,19.00031571,44.01723025,625.9332833,-0.23342927800000002
 01/09  17:00:00,8.0375,19.00044363,44.81035208,612.1186191,-0.225233983
 01/09  18:00:00,7.875,19.00047138,44.33508009,535.5162495,-0.225798752
 01/09  19:00:00,7.675,19.00026458,43.80028038,464.3528496,-0.228211849
 01/09  20:00:00,7.475,19.00017158,43.16833331,423.4353148,-1.194340827
 01/09  21:00:00,7.3375,19.00015269,42.44018539,412.46696099999997,-1.1965456970000001
 01/09  22:00:00,7.3,19.00024259,41.45399833,411.042547,-1.199225037
 01/09  23:00:00,7.3625,19.0003694,39.88017597,410.8576048,-1.204664022
 01/09  24:00:00,7.4625,15.23930312,48.883344799999996,410.836542,-1.466038741
 01/10  01:00:00,7.5,14.00953271,50.22431492,410.8321563,-0.759310163
 01/10  02:00:00,7.4375,13.90280981,47.83866138,410.83077480000003,-0.7896602909999999
 01/10  03:00:00,7.2125,13.78668698,45.88362597,410.8302784,-0.8155245609999999
 01/10  04:00:00,6.725,13.61508208,44.77812641,410.8301,-0.8433234909999999
 01/10  05:00:00,6.0625,13.39567013,44.66584231,410.8300358,-0.874239483
 01/10  06:00:00,5.3625,13.16302583,45.36456854,410.8300128,-0.9046541090000001
 01/10  07:00:00,4.7875,12.95639294,46.5826425,410.8300046,-0.931692912
 01/10  08:00:00,4.475,15.62568569,40.23405409,410.83000110000006,-0.746461708
 01/10  09:00:00,4.7125,16.48359817,39.37633078,410.8300001,-0.57671697
 01/10  10:00:00,5.275,18.8433194,37.58176448,577.6501494,-0.370727515
 01/10  11:00:00,5.75,19.00106242,37.82304512,618.3097557,-0.279782801
 01/10  12:00:00,6.025,19.0011564,35.90156616,613.5667655,-0.28073619
 01/10  13:00:00,6.2875,19.00129535,32.42189588,570.2116151,-0.29152467
 01/10  14:00:00,6.5875,19.001054999999997,29.51325911,569.4574387,-0.302929581
