Date/Time,环境: 现场室外空气干球温度 [C](Hourly),热区: 空间102: 区域平均气温 [C](Hourly),热区: 空间102: 区域空气相对湿度[%](Hourly),热区: 空间102: 区域空气二氧化碳浓度 [ppm](Hourly),区域热舒适吸管模型 pmv [](Hourly),区域热舒适吸血鬼模型 ppd [%](Hourly),电源风扇: 风扇电能 [KWH](Hourly),热区: 空间102 vrf 供应风扇: 风扇电能 [KWH](Hourly),Vrf 热泵: vrf 热泵冷却电能 [KWH](Hourly),Vrf 热泵: vrf 热泵加热电能[KWH](Hourly),热回收: 热交换器电能 [KWH](Hourly) 
 01/01  18:00:00,3.2,13.75739439,43.05064655,674.2730344,-0.988089429,25.63950293,0.09590466,0,0,0,0
 01/01  19:00:00,3.1375,13.15863387,43.16779971,551.9421905,-1.061284956,28.7808321,0.09590466,0,0,0,0
 01/01  20:00:00,3.1,12.79805313,43.21892393,463.8309049,-2.078831567,80.18996749,0.09590466,0,0,0,0
 01/01  21:00:00,3.0375,12.71665346,43.25577039,427.1841985,-2.096604719,80.9291635,0.09590466,0,0,0,0
 01/01  22:00:00,3,12.68503206,43.50131163,415.8763033,-2.101832659,81.14295971,0.09590466,0,0,0,0
 01/01  23:00:00,2.9375,12.65888812,43.8835369,412.3870855,-2.103947798,81.22904788,0.09590466,0,0,0,0
 01/01  24:00:00,2.9,11.108874,48.97699176,411.3798938,-2.220925836,85.50871717,0,0,0,0,0
 01/02  01:00:00,2.8375,10.69794689,50.6924841,411.0157968,-1.349333109,42.83205871,0,0,0,0,0
 01/02  02:00:00,2.7375,10.61730759,51.41011301,410.8964308,-1.36211094,43.50372491,0,0,0,0,0
 01/02  03:00:00,2.6375,10.54581194,52.32433835,410.8537503,-1.372266914,44.03965984,0,0,0,0,0
 01/02  04:00:00,2.5375,10.48123439,53.29429879,410.8384901,-1.380655102,44.48364488,0,0,0,0,0
 01/02  05:00:00,2.375,10.4044697,54.37717376,410.8330344,-1.389585244,44.95759954,0,0,0,0,0
 01/02  06:00:00,2.2375,10.33062297,55.49183448,410.8310841,-1.39907611,45.46260625,0,0,0,0,0
 01/02  07:00:00,2.075,10.25742091,56.31722554,410.8303872,-1.407635184,45.91922244,0,0,0,0,0
 01/02  08:00:00,2,11.67607314,51.26470077,410.8301363,-1.307087053,40.68649204,0.09590466,0,0,0,0
 01/02  09:00:00,2.25,12.10820304,49.57526956,410.8300394,-1.2180629,36.13520036,0.09590466,0,0,0,0
 01/02  10:00:00,2.775,14.0211074,45.95779432,627.8112652,-1.06391821,29.04760064,0.09590466,0,0,0,0
 01/02  11:00:00,3.3125,14.30492819,46.2582951,752.8386356,-0.953332952,24.1982736,0.09590466,0,0,0,0
 01/02  12:00:00,3.875,14.51452108,44.31743711,768.7045912,-0.941610143,23.72825724,0.09590466,0,0,0,0
 01/02  13:00:00,4.6,14.37138035,42.14754371,717.5146352,-0.944515006,23.84564146,0.09590466,0,0,0,0
 01/02  14:00:00,5.4625,14.81671226,38.89986134,702.2513622,-0.919116154,22.84693481,0.09590466,0,0,0,0
 01/02  15:00:00,6.4875,15.27979141,36.84116863,711.8668367,-0.866886944,20.86660489,0.09590466,0,0,0,0
 01/02  16:00:00,7.4625,16.04571784,36.07605613,775.8889626,-0.789576289,18.16138752,0.09590466,0,0,0,0
 01/02  17:00:00,7.675,15.98702702,36.84972018,778.1268098,-0.757930714,17.1017019,0.09590466,0,0,0,0
 01/02  18:00:00,7.2875,15.29475008,37.32054893,676.8292795,-0.814545157,19.01349283,0.09590466,0,0,0,0
 01/02  19:00:00,6.6625,14.51979941,37.57455484,553.6006984,-0.905508492,22.33336108,0.09590466,0,0,0,0
 01/02  20:00:00,5.9625,13.9697879,37.78413819,464.6565037,-1.941376158,74.04064015,0.09590466,0,0,0,0
 01/02  21:00:00,5.3875,13.72099298,38.31563174,427.5209543,-1.975739774,75.65319928,0.09590466,0,0,0,0
 01/02  22:00:00,5.0125,13.56267694,39.13845205,416.0011745,-1.992422942,76.41806355,0.09590466,0,0,0,0
 01/02  23:00:00,4.8375,13.48777123,39.82458846,412.4312785,-1.999872352,76.7560353,0.09590466,0,0,0,0
 01/02  24:00:00,4.8,11.86507538,44.99500288,411.397595,-2.118617419,81.67401532,0,0,0,0,0
 01/03  01:00:00,4.8,11.44651351,46.89261321,411.0226992,-1.248505137,37.65079418,0,0,0,0,0
 01/03  02:00:00,4.675,11.38007158,47.59512017,410.8992135,-1.256434326,38.04962046,0,0,0,0,0
 01/03  03:00:00,4.35,11.27252759,48.25835153,410.8548456,-1.268101721,38.63950946,0,0,0,0,0
 01/03  04:00:00,3.7625,11.0969246,48.9962691,410.8389082,-1.287186923,39.61175216,0,0,0,0,0
 01/03  05:00:00,2.9375,10.8541283,49.45880898,410.8331876,-1.316129586,41.10190206,0,0,0,0,0
 01/03  06:00:00,2.1,10.60014712,49.59013322,410.831138,-1.34942699,42.83758594,0,0,0,0,0
 01/03  07:00:00,1.3625,10.37034716,49.44828381,410.8304054,-1.38117951,44.51197747,0,0,0,0,0
 01/03  08:00:00,0.975,11.65376648,44.67202502,410.8301422,-1.298930354,40.26049249,0.09590466,0,0,0,0
 01/03  09:00:00,1.525,12.10264366,43.33132923,410.830041,-1.21613134,36.04069235,0.09590466,0,0,0,0
 01/03  10:00:00,2.9,14.23855349,41.23252815,622.1555518,-1.039570635,28.01119689,0.09590466,0,0,0,0
 01/03  11:00:00,4.5625,14.96404326,43.2395992,753.1146482,-0.87415116,21.13253954,0.09590466,0,0,0,0
 01/03  12:00:00,6.2625,15.57411865,43.26001868,769.6046941,-0.805065119,18.6790519,0.09590466,0,0,0,0
 01/03  13:00:00,7.9,15.73533362,42.62226023,718.9529058,-0.763799312,17.29077689,0.09590466,0,0,0,0
 01/03  14:00:00,9.375,16.40238356,40.2752658,703.9543881,-0.699796624,15.31446617,0.09590466,0,0,0,0
 01/03  15:00:00,10.7125,16.94432607,38.38191284,713.7964307,-0.628790327,13.30207729,0.09590466,0,0,0,0
 01/03  16:00:00,11.6375,17.55263434,37.52712273,778.1465719,-0.570051148,11.81914853,0.09590466,0,0,0,0
 01/03  17:00:00,11.7125,17.50802269,37.27275299,780.6087964,-0.540271392,11.10949564,0.09590466,0,0,0,0
 01/03  18:00:00,11.1,16.83401333,36.67556491,678.9633746,-0.60308697,12.65097923,0.09590466,0,0,0,0
 01/03  19:00:00,10.175,16.10830618,35.86879851,554.9861624,-0.691003219,15.05599758,0.09590466,0,0,0,0
 01/03  20:00:00,9.05,15.48383664,35.69662347,465.3520571,-1.727954215,63.23909971,0.09590466,0,0,0,0
 01/03  21:00:00,7.9125,15.0606156,36.27467054,427.8072802,-1.779020065,65.92998144,0.09590466,0,0,0,0
 01/03  22:00:00,7,14.74597426,37.29163366,416.1047069,-1.811385835,67.60621552,0.09590466,0,0,0,0
 01/03  23:00:00,6.2625,14.46246845,38.56194533,412.4660103,-1.837678528,68.94861972,0.09590466,0,0,0,0
